mei	cmavo   	-mem-   	-mei-	      		wandelt eine Zahl in eine Mächtigkeitsbeziehung; x_1 ist die Masse von den Elementen aus Menge x_2 mit Mitglied(ern) x_3
mi	cmavo   	-mib-		   	KOhA3      	prosumti: Ich/wir die/der Sprecher/Autor(en); Definiert durch mi'e.	Siehe auch {mi'e}, {mi'o}, {mi'a}, {ma'a}.
mo	cmavo			   	GOhA      	pro-bridi: Frage nach bridi/selbri/brivla.
mo'a	cmavo   	-mob-		      		Ziffer/Zahl: zu wenige; subjektiv
moi	cmavo   	-mom-   	-moi-	      		wandelt Zahl in eine Ordnungsbeziehung; x_1 ist das (n).te Element von Menge x_2 geordnet nach Vorschrift x_3
mo'i	cmavo   	-mov-		      		markiert Bewegungen in der Raumzeit
mu	cmavo   	-mum-		   	PA1      	Zahl/Ziffer: 5 [Fünf]
mu'e	cmavo   	-muf-		      		Abstraktion: Ausführung (Ereignis) Abstraktion; x_1 ist ein Punktereignis/Ausführung von [bridi]
na	cmavo   	-nar-		      		widersprechender Bridi-Negator; Wirkungsbereich ist eine gesamte Prädikatsbeziehung; negiert logisch in manchen cmavo-Komposita
na'e	cmavo   	-nal-		      		Komplement-Negator (skalar); anders als ...; nicht ...; eine Skala oder Menge ist impliziert
ni	cmavo   	-nil-		      		Abstraktion: Menge/Betrag Abstraktion; x_1 ist die Menge/Höhe/Betrag von [bridi] gemessen auf Skala x_2
ni'o	cmavo			   	NIhO      	Diskursiv: Absatz; beginnt ein neues Thema.
no	cmavo   	-non-		   	PA1      	Zahl/Ziffer: 0 [Null].
no'e	cmavo   	-nor-   	-no'e-	      		mittelwertiger skalarer Negator: neutraler Punkt zwischen je'a und to'e; „eigentlich nicht“
nu	cmavo   	-nun-		      		Abstraktion: allgemeines Ereignis Abstraktion; x_1 ist der Zustand/Prozess/Vollendung/Handlung von [bridi]
nu'o	cmavo   	-nu'o-		      		modaler Aspekt: kann aber hat/ist nicht; unverwirklichtes Potenzial
pa	cmavo   	-pav-		   	PA1      	Zahl/Ziffer: 1 [Eins]
pi	cmavo   	-piz-		      		Ziffer/Zahl: Basispunkt; Default: Dezimal
pi'u	cmavo   	-piv-		      		nicht-logische Verknüpfung: Kreuzprodukt; Kartesisches Produkt von Mengen
pu'i	cmavo   	-pus-		      		modaler Aspekt: kann und hat; demonstriertes Potenzial
pu'u	cmavo   	-puv-		      		Abstraktion: Prozess-(Ereignis-)Abstraktion; x_1 ist ein Prozess von [bridi] bestehend aus Phasen x_2
re	cmavo   	-rel-		   	PA1      	Zahl/Ziffer: 2 [Zwei]
