abu	bu-letteral			   	BY*      	De letter a.
ci	cmavo   	-cib-		   	PA1      	Cijfer/Nummer ; 3 [drie]
cternalmat	cmevla			      		Chinees dammen
pa	cmavo   	-pav-		   	PA1      	getal/nummer: 1 [één]
re	cmavo   	-rel-		   	PA1      	getal/nummer: 2 [twee]
vo	cmavo   	-von-		   	PA1      	Cijfer/Nummer ; 4 [vier]
voki'o	cmavo-compound			   	PA*      	nummer/hoeveelheid: 4,000 uitgedrukt met komma.
za'u	cmavo			   	PA3      	numerieke waarde: groter/meer dan.
