bilni	gismu   	-bil-		      	x_1 es militar/regimentado/organizado por sistema x_2 con propósito x_3
bindo	gismu   	-bid-		      	x_1 refleja cultura/nacionalidad/idioma indonesio en aspecto x_2
binra	gismu			      	x_1 asegura/indemniza a x_2 contra eventualidad x_3 (evento) por monto x_4 con beneficios x_5
binxo	gismu   	-bix-   	-bi'o-	      	x_1 se hace/vuelve/convierte/transforma en x_2 bajo condiciones x_3	Ver también {cenba},  {galfi},  {stika},  {zasni}.
birje	gismu			      	x_1 es una cantidad de cerveza de origen x_2
birka	gismu   	-bir-		      	x_1 es un brazo (parte del cuerpo) de x_2
birti	gismu   	-bit-		      	x_1 está seguro/tiene la certeza/está convencido de que x_2 (du'u) es cierto
bisli	gismu   	-bis-		      	x_1 es una cantidad de hielo de material/composición x_2
bitmu	gismu   	-bim-   	-bi'u-	      	x_1 es una pared/muro/verja/valla que separa x_2 y x_3 en estructura x_4	Ver también {vorme},  {jbini},  {sepli}.
blabi	gismu   	-lab-		      	x_1 es blanco/muy claro (color)
blaci	gismu			      	x_1 es una cantidad de vidrio de composición x_2
blanu	gismu   	-bla-		      	x_1 es azul (color)
bliku	gismu   	-bli-		      	x_1 es un bloque/ladrillo de material x_2 con superficies/lados x_3
bloti	gismu   	-lot-   	-blo-   	-lo'i-      	x_1 es un bote/barco/embarcación/navío/nave (vehículo) para pasajeros/carga x_2, propelido/impulsado por x_3
bolci	gismu   	-bol-   	-boi-	      	x_1 es una pelota/bola/esfera/globo (forma) de material x_2
bongu	gismu   	-bog-   	-bo'u-	      	x_1 es un hueso/marfil (parte del cuerpo) que realiza función x_2 en el cuerpo de x_3
botpi	gismu   	-bot-   	-bo'i-	      	x_1 es una botella/jarro/urna/recipiente tapable para contenido x_2, de material x_3, con tapa x_4	Ver también {baktu}.
boxfo	gismu   	-bof-   	-bo'o-	      	x_1 es una hoja/lámina/plancha (forma bidimensional flexible) de material x_2	Ver también {bukpu}.
boxna	gismu   	-bon-   	-bo'a-	      	x_1 es una onda/ola (forma periódica) en medio x_2, forma de onda x_3, longitud de onda x_4, frecuencia x_5
